"nik","nama","tempatlahir","tanggallahir","jekel","alamat","agama","status"
"7590134912918320","Sari Ella Puspasari","Cimahi","1983-08-23","1","Gg. Basmol Raya No. 241, Bontang 74663, NTB","0","0"
"9551644510959469","Cakrawala Tampubolon S.H.","Cimahi","1982-03-20","0","Dk. Elang No. 446, Dumai 76515, Papua","0","0"
"3488020301975644","Malika Hartati M.Farm","Subulussalam","2011-05-27","1","Ki. Bah Jaya No. 11, Serang 59564, KalUt","5","0"
"4744445802091002","Ana Rahmawati","Bitung","1999-11-22","1","Ds. Ikan No. 525, Banda Aceh 33303, KalSel","3","0"
"5832345712959707","Balidin Kusumo M.Farm","Pangkal Pinang","1997-08-22","1","Ds. Soekarno Hatta No. 561, Bandar Lampung 81806, PapBar","3","1"
"0989346401912638","Wardi Salman Sitompul S.Kom","Surakarta","1992-05-07","1","Gg. Sugiyopranoto No. 822, Surakarta 61415, Banten","5","0"
"1529774904950205","Kayla Ajeng Anggraini M.Ak","Magelang","2010-11-20","0","Jr. Bazuka Raya No. 308, Batam 19605, KalBar","4","0"
"9419330302981981","Unjani Yolanda","Ternate","1972-05-30","0","Gg. Jamika No. 529, Tebing Tinggi 96001, JaBar","4","0"
"4498155111003165","Maria Handayani","Pariaman","2001-08-22","1","Jr. Raden No. 288, Administrasi Jakarta Timur 40165, SulUt","0","0"
"4080182107999782","Darimin Wahyudin S.Kom","Tebing Tinggi","1979-07-01","0","Kpg. Sutoyo No. 595, Administrasi Jakarta Timur 20067, NTB","0","0"
"1644501302125367","Ade Pia Astuti M.TI.","Batam","2009-03-04","1","Ki. Dipenogoro No. 368, Surabaya 89988, Gorontalo","5","0"
"8353174906008316","Estiawan Marpaung S.Pd","Balikpapan","1995-07-14","1","Ki. Gotong Royong No. 490, Dumai 61061, KalBar","4","1"
"2832250608179633","Dewi Rahayu","Magelang","1988-06-23","1","Gg. Yos No. 582, Kotamobagu 99450, DKI","4","1"
"9225511901085054","Jaiman Hutapea","Salatiga","1981-06-13","1","Gg. Sukabumi No. 130, Bengkulu 15834, SumBar","0","1"
"8995545809073778","Nyoman Siregar","Sukabumi","1987-12-26","0","Ds. Jambu No. 684, Jambi 16609, Banten","3","1"
"4695705403095610","Hilda Nuraini","Batam","2015-04-08","1","Gg. Ters. Buah Batu No. 975, Malang 57314, SumBar","4","1"
"6817555002977740","Rina Ophelia Yolanda","Makassar","2007-05-28","1","Dk. Panjaitan No. 519, Metro 79088, JaTim","5","1"
"4433721503105674","Siska Handayani S.H.","Madiun","2009-08-06","1","Ki. Rumah Sakit No. 90, Pagar Alam 86925, KalTeng","3","0"
"6863751309925452","Prakosa Hardiansyah S.E.","Kediri","1990-10-12","0","Psr. Basuki No. 179, Surakarta 79386, NTB","1","1"
"3462106310115660","Kasiyah Yuniar","Gorontalo","1989-10-01","0","Ki. Kalimalang No. 751, Bogor 16940, JaTeng","3","1"
"3616391012977942","Elisa Halimah","Padangsidempuan","2001-03-27","1","Kpg. Samanhudi No. 639, Sawahlunto 86492, KalTeng","1","0"
"6828686108038139","Gamani Hakim","Bontang","1989-05-13","0","Dk. Dr. Junjunan No. 877, Palangka Raya 39479, PapBar","2","1"
"6918342601983824","Karimah Mayasari","Padangpanjang","2008-05-15","0","Kpg. Haji No. 283, Binjai 29024, JaBar","1","0"
"0471626103952442","Faizah Ella Purwanti S.Farm","Sungai Penuh","1970-07-23","0","Ki. Banceng Pondok No. 436, Bekasi 72738, Jambi","2","0"
"8219476001124599","Vanya Handayani S.E.I","Ambon","1986-05-19","1","Ds. Urip Sumoharjo No. 521, Depok 51873, SulBar","3","0"
"7835151504998277","Raina Ulya Usada S.E.","Palangka Raya","1995-07-26","0","Psr. Tambak No. 424, Sibolga 22856, Bengkulu","4","1"
"3699281002111473","Cinthia Carla Mayasari M.TI.","Subulussalam","1994-09-15","0","Ki. Jagakarsa No. 475, Singkawang 21418, KepR","2","0"
"1816525703035988","Diana Yessi Rahmawati","Pasuruan","1975-06-28","1","Psr. Kyai Gede No. 282, Tangerang 85095, Bengkulu","1","0"
"0789842611151143","Icha Hariyah","Bekasi","2015-10-14","1","Jln. Bah Jaya No. 391, Administrasi Jakarta Pusat 81657, Gorontalo","4","1"
"2385250803103534","Dono Adika Marpaung","Binjai","2008-05-31","1","Jr. Bakau Griya Utama No. 928, Bengkulu 22145, SumBar","1","1"
"0327210106031490","Yusuf Daryani Gunawan","Pangkal Pinang","1973-09-07","1","Ki. Adisucipto No. 120, Ambon 41383, Papua","3","0"
"4630660411959483","Ratna Septi Laksmiwati","Magelang","2005-02-04","0","Ds. Madrasah No. 50, Makassar 58111, SulSel","5","1"
"0653705805999682","Jayeng Najib Maulana S.T.","Solok","2002-11-23","1","Jln. Gardujati No. 359, Batam 49660, SumSel","0","0"
"3409850404905874","Bakiadi Galuh Sihotang","Banjarmasin","1996-09-21","1","Dk. Imam Bonjol No. 937, Cimahi 88802, Lampung","5","1"
"9635323005047494","Clara Suartini M.Ak","Jayapura","2008-01-26","1","Psr. Elang No. 765, Pagar Alam 75249, JaTim","3","1"
"0320955509175996","Raisa Pudjiastuti M.Kom.","Mojokerto","1990-03-14","0","Jr. Bayan No. 473, Pekalongan 85424, DKI","4","1"
"8783806009173858","Naradi Anggriawan","Metro","2011-06-14","0","Jln. Untung Suropati No. 490, Bontang 92525, Riau","2","0"
"9383002710911181","Jaga Cakrawala Permadi S.T.","Sungai Penuh","2005-04-17","0","Ds. Gegerkalong Hilir No. 220, Singkawang 79052, Gorontalo","0","0"
"3870365906008388","Bakiono Prasasta","Banjar","1979-10-03","0","Kpg. Achmad No. 162, Cilegon 33890, DKI","0","0"
"1256101110101904","Nabila Suryatmi","Kendari","1996-05-21","1","Ds. B.Agam Dlm No. 995, Jambi 81574, SulTeng","3","0"
"6663473103115294","Yosef Pradana","Banda Aceh","2010-02-25","0","Ds. Banal No. 455, Ambon 18727, DKI","3","0"
"0583732908895955","Puspa Uli Mardhiyah","Gunungsitoli","2004-07-26","0","Ds. Moch. Ramdan No. 247, Prabumulih 32519, Papua","2","1"
"8485292109150570","Lala Susanti S.Sos","Tidore Kepulauan","1971-09-28","1","Kpg. Ters. Jakarta No. 834, Tasikmalaya 99195, MalUt","5","1"
"4181874105107943","Kamal Habibi S.E.I","Metro","1983-11-25","0","Ds. Dr. Junjunan No. 711, Kediri 38348, SumBar","0","0"
"5884994804972333","Oliva Yuniar","Langsa","1996-04-04","0","Gg. Basuki Rahmat  No. 560, Administrasi Jakarta Utara 38333, KalUt","5","1"
"0636270802905369","Ratih Andriani","Gunungsitoli","1973-09-17","0","Jr. Yos No. 73, Binjai 54792, KalSel","5","0"
"3065922802026370","Endah Cici Prastuti","Bogor","1992-03-22","0","Gg. Padang No. 651, Bogor 15591, Gorontalo","4","0"
"9400580707072397","Cornelia Mulyani","Serang","2007-04-25","1","Dk. Banda No. 512, Binjai 73561, KepR","2","1"
"0254914606106411","Makara Jono Maulana","Makassar","1987-01-03","0","Gg. Perintis Kemerdekaan No. 306, Magelang 38612, SulTeng","2","1"
"2934930804121204","Kusuma Wijaya","Sibolga","1992-02-21","1","Gg. Baik No. 198, Administrasi Jakarta Selatan 20022, KalTeng","2","1"
"8938626412058915","Ade Zulkarnain","Binjai","1991-10-28","1","Gg. HOS. Cjokroaminoto (Pasirkaliki) No. 940, Sukabumi 16649, SumUt","4","0"
"6468136210014731","Embuh Warsita Wacana S.H.","Magelang","2002-02-06","0","Ds. Flores No. 104, Banda Aceh 65709, SulTra","3","1"
"1342932402038919","Wulan Utami S.E.","Banjarmasin","1978-03-26","1","Ds. Ikan No. 521, Bukittinggi 35096, SulSel","5","0"
"6364615506911230","Cinta Mulyani S.E.I","Tasikmalaya","1976-06-27","1","Dk. Gegerkalong Hilir No. 421, Manado 30908, Banten","4","1"
"7247954401158697","Jelita Pratiwi","Gunungsitoli","1992-04-11","1","Dk. Bacang No. 200, Gorontalo 29728, Riau","0","0"
"5523624604164443","Prima Cahyono Firmansyah S.Kom","Serang","1999-11-24","1","Ds. PHH. Mustofa No. 88, Payakumbuh 20369, BaBel","4","1"
"5494575809134534","Rahmi Novitasari","Jayapura","1981-12-04","0","Jr. Bayan No. 870, Bandar Lampung 28419, KepR","1","1"
"5492902303937101","Heryanto Santoso M.TI.","Mojokerto","2004-02-28","0","Dk. Raya Setiabudhi No. 590, Kotamobagu 53917, Banten","0","0"
"7472861509009752","Kala Gunarto","Tangerang","2017-03-21","1","Psr. Achmad No. 589, Padangsidempuan 82718, KalUt","3","1"
"6550560805062554","Malika Yuliarti","Ambon","2017-01-07","0","Ds. Baja Raya No. 821, Magelang 71813, Aceh","4","0"
"3348140610128094","Ratih Hartati","Metro","1972-12-14","0","Ki. Bakit  No. 373, Gorontalo 47405, JaTim","2","1"
"3695625804014136","Vinsen Situmorang","Kotamobagu","1995-02-12","0","Ki. Jamika No. 922, Manado 10726, SumUt","2","1"
"3771814112065589","Lasmono Anggabaya Gunawan S.Psi","Surabaya","1979-06-11","1","Gg. Moch. Ramdan No. 248, Blitar 88972, Jambi","0","0"
"2457456306181280","Arsipatra Firmansyah","Parepare","1977-02-02","1","Dk. Gedebage Selatan No. 353, Palangka Raya 56913, KalTeng","3","1"
"9562891204920329","Maida Hasanah","Pariaman","2015-05-30","0","Jr. Yos Sudarso No. 991, Padangpanjang 79792, KalTeng","4","1"
"2682271108037973","Tantri Susanti S.Psi","Yogyakarta","1973-01-20","0","Gg. Raden Saleh No. 454, Tual 74128, SumBar","2","0"
"3947596201975502","Farah Ghaliyati Wahyuni","Kupang","1991-05-04","0","Dk. K.H. Maskur No. 92, Tasikmalaya 36031, JaBar","4","1"
"3054360710129973","Ophelia Almira Mayasari S.Psi","Banjarmasin","1986-11-07","1","Dk. Perintis Kemerdekaan No. 865, Magelang 30418, Lampung","0","1"
"5352242812049468","Ellis Astuti","Tual","1975-08-06","0","Jr. Reksoninten No. 275, Tangerang Selatan 80366, Riau","5","1"
"9810421901940674","Pangestu Adinata Samosir S.T.","Tangerang Selatan","2003-01-17","1","Ds. Bata Putih No. 685, Dumai 70050, NTB","0","0"
"5111041407122489","Lantar Kasim Waskita S.Pt","Subulussalam","1999-05-17","1","Jr. Astana Anyar No. 880, Bandung 38888, KalTim","0","1"
"3381334810919810","Olivia Padmasari M.Pd","Sungai Penuh","1997-03-19","1","Gg. Moch. Toha No. 123, Prabumulih 73655, Bengkulu","5","1"
"4899264706944437","Rahmi Nasyidah","Binjai","1988-07-09","0","Ds. Daan No. 565, Mataram 39603, JaTeng","4","1"
"3118891007989490","Soleh Dagel Damanik","Palangka Raya","1989-03-28","1","Jln. Industri No. 581, Administrasi Jakarta Selatan 56795, JaTim","2","1"
"5944651602134556","Zalindra Hasna Rahimah S.E.I","Balikpapan","1984-12-16","1","Ds. Yosodipuro No. 519, Administrasi Jakarta Utara 30823, KalBar","2","1"
"5830545911118209","Banara Jayadi Mahendra","Tanjung Pinang","1979-09-15","0","Ds. BKR No. 808, Singkawang 48459, NTB","5","0"
"8007966208176803","Yani Susanti","Sorong","2014-03-15","1","Psr. Antapani Lama No. 652, Bukittinggi 35867, Banten","3","0"
"9761460812032642","Titin Permata","Sibolga","1992-12-22","0","Dk. Surapati No. 766, Probolinggo 65950, Banten","0","0"
"8825756308141719","Rusman Zulkarnain","Bontang","2011-08-04","0","Jr. Sutarjo No. 99, Kupang 89624, Gorontalo","3","0"
"7426502304095490","Bella Kusmawati","Bandar Lampung","2007-08-07","1","Gg. Kali No. 628, Sawahlunto 94691, Papua","4","1"
"2938051507037041","Mulya Ardianto","Tasikmalaya","1975-04-27","1","Gg. Bagonwoto  No. 720, Semarang 41494, Lampung","3","1"
"7469572112913157","Tania Gina Laksita","Depok","1980-10-26","1","Kpg. Suryo No. 948, Padang 94708, NTT","5","0"
"5278194610900274","Kartika Yolanda S.Pd","Medan","1990-06-06","1","Gg. Suniaraja No. 934, Tarakan 46440, Jambi","0","1"
"2648456511983592","Karen Lailasari S.Pd","Binjai","1977-01-09","0","Ds. Badak No. 728, Serang 66888, Riau","2","0"
"0045436909997091","Mustika Nasab Prabowo","Semarang","2008-02-22","1","Ki. Baha No. 536, Makassar 33648, NTT","4","1"
"9252303010082545","Maida Mandasari","Lubuklinggau","2012-10-15","0","Jr. Wahid Hasyim No. 23, Surakarta 47658, JaBar","2","1"
"9592440111084380","Lutfan Mansur","Magelang","2015-11-02","0","Ds. Sutarjo No. 831, Medan 47637, SumUt","0","1"
"4356006008921418","Prabawa Mansur","Langsa","1970-12-10","0","Dk. Lada No. 668, Administrasi Jakarta Timur 59032, SulSel","2","0"
"4465514502139630","Hamzah Kusumo","Sibolga","2000-02-12","0","Kpg. Basuki No. 846, Manado 21907, KepR","5","1"
"6253005207135125","Lantar Emong Wijaya S.Gz","Lhokseumawe","1989-10-02","1","Kpg. Gedebage Selatan No. 504, Probolinggo 39691, NTT","3","1"
"8281103101019157","Rika Aurora Widiastuti","Bogor","1992-07-11","1","Gg. Teuku Umar No. 294, Singkawang 31847, MalUt","3","1"
"4228492412891197","Dadi Hakim","Parepare","1987-03-22","0","Gg. Lada No. 125, Gunungsitoli 12937, SulTeng","3","1"
"7916992907169742","Puti Suryatmi","Pontianak","2007-12-02","1","Ds. Tambun No. 73, Dumai 18579, DIY","2","1"
"8545956303019332","Zelda Rahmawati","Banjar","2011-06-28","1","Jln. Rumah Sakit No. 143, Manado 49030, DKI","2","0"
"8094856807084239","Dimas Dongoran","Bau-Bau","1999-06-08","1","Ds. Ki Hajar Dewantara No. 966, Sorong 63212, SumBar","0","0"
"2279061305899853","Kasiran Nababan S.Farm","Pasuruan","2000-01-03","0","Jr. Jambu No. 453, Ambon 50985, SulUt","3","1"
"1055556906015195","Diana Talia Hassanah M.Farm","Tual","1974-10-21","0","Psr. Villa No. 39, Tegal 75660, BaBel","5","0"
"1603106703954091","Lidya Puput Nuraini","Batam","2011-08-27","1","Ki. Cikutra Timur No. 566, Bontang 17216, KalSel","1","0"
"7440266307072984","Sadina Wahyuni","Gunungsitoli","1986-06-27","0","Jln. W.R. Supratman No. 115, Pasuruan 76065, PapBar","2","0"
"5817453004104019","Hesti Astuti S.Psi","Salatiga","2009-05-17","1","Jr. Cikutra Timur No. 485, Magelang 57498, NTB","5","1"
"9625262205174895","Praba Purwanto Hutasoit","Magelang","2011-11-23","0","Gg. Yap Tjwan Bing No. 143, Prabumulih 48157, Papua","1","1"
"2001170204988535","Halima Dewi Rahmawati S.Gz","Gunungsitoli","1970-06-20","1","Jr. Bambu No. 875, Pagar Alam 15687, KalSel","1","0"
"2563804503170209","Rahayu Wahyuni S.Sos","Banjar","1972-01-20","0","Dk. Bakin No. 78, Pangkal Pinang 78603, DIY","4","1"
"2726882310172857","Almira Riyanti","Serang","1984-12-11","0","Gg. Imam Bonjol No. 250, Prabumulih 80590, JaBar","3","1"
"0790521202017549","Ella Hartati","Tangerang","1979-09-22","1","Jln. Kali No. 952, Manado 83603, Lampung","2","0"
"5987994604930348","Wisnu Sihombing","Bandar Lampung","2003-08-20","1","Jr. Supono No. 635, Palopo 79660, Gorontalo","1","0"
"2680066312991455","Rafi Wasita","Balikpapan","2010-03-27","1","Ds. Eka No. 494, Tegal 32691, Papua","3","1"
"3056466702138716","Janet Mutia Farida","Balikpapan","2018-12-15","0","Kpg. Jayawijaya No. 336, Bima 96658, NTB","2","1"
"7272766510158838","Purwadi Hardiansyah","Cimahi","1977-07-18","0","Gg. Yohanes No. 949, Kupang 24972, NTT","4","1"
"8185052206925121","Yosef Wasita M.Kom.","Mojokerto","1981-08-14","1","Psr. Laksamana No. 91, Medan 47497, DKI","1","0"
"4630594411968021","Ellis Wirda Lailasari","Probolinggo","1980-04-08","1","Psr. Babadan No. 400, Samarinda 27013, Maluku","3","0"
"8779661801083118","Talia Sudiati","Cilegon","1999-06-15","1","Ki. Gatot Subroto No. 314, Yogyakarta 35460, Jambi","2","1"
"2102974207901007","Dalima Maryati","Banjarmasin","1988-08-22","0","Jr. Bakti No. 368, Tanjung Pinang 87194, JaTeng","1","1"
"8669192807055211","Melinda Pratiwi M.Pd","Samarinda","2007-11-02","0","Psr. Panjaitan No. 129, Ambon 77523, JaBar","5","0"
"6029906102119555","Ika Wijayanti","Palembang","2004-10-04","0","Kpg. Sugiono No. 684, Cimahi 29412, JaTim","3","0"
"6339661107022642","Ikhsan Lanang Prasasta","Bengkulu","2011-04-29","1","Gg. Moch. Yamin No. 819, Depok 46951, Aceh","5","0"
"2078692403187611","Cinthia Melani","Parepare","2010-01-23","0","Dk. Salak No. 729, Gorontalo 75520, KalBar","1","1"
"6628411207073993","Wardaya Nugroho","Tangerang Selatan","2003-06-28","0","Jln. Supono No. 563, Administrasi Jakarta Selatan 70621, JaTim","2","1"
"6632082404055900","Wawan Banara Hutapea S.Gz","Sungai Penuh","1988-12-22","0","Gg. Jakarta No. 4, Magelang 22974, SulUt","3","1"
"8444822106099427","Slamet Narpati","Sukabumi","2016-06-12","1","Ki. Peta No. 599, Cirebon 26995, Aceh","2","1"
"6025051711999882","Budi Bakianto Dabukke","Cirebon","1990-12-13","0","Jr. Qrisdoren No. 590, Parepare 42468, KalUt","4","1"
"3340215605914385","Amalia Nasyidah","Bogor","2004-01-23","0","Psr. Untung Suropati No. 91, Yogyakarta 25580, SulTeng","2","1"
"4414450502990367","Lukita Prabu Maulana M.Pd","Banjarbaru","1995-05-22","1","Ki. Yap Tjwan Bing No. 787, Tomohon 62529, SulTra","0","0"
"6873452603027050","Saka Tarihoran","Samarinda","2012-03-17","0","Psr. Bakaru No. 350, Manado 52132, Riau","1","0"
"7115500301909373","Warji Sirait","Kotamobagu","1997-11-14","1","Ds. Bambu No. 177, Dumai 79370, Jambi","3","0"
"3740151901112438","Citra Haryanti","Bau-Bau","2002-06-16","0","Gg. Wora Wari No. 710, Administrasi Jakarta Barat 24346, SumUt","0","1"
"2120846107170466","Bella Karen Oktaviani","Palopo","1993-10-08","0","Ds. Yos No. 382, Gunungsitoli 71812, KalTeng","0","0"
"7051200107972037","Padma Agustina","Pematangsiantar","2003-01-09","1","Psr. Surapati No. 605, Bandung 86797, Maluku","4","1"
"6970475003944442","Dinda Tari Yulianti S.E.","Jambi","1980-10-04","1","Ds. Bagonwoto  No. 314, Tegal 89608, KalUt","5","0"
"2645395506902255","Sakti Gunarto","Padangsidempuan","2015-05-14","1","Psr. Pelajar Pejuang 45 No. 994, Tanjung Pinang 25458, KalTeng","4","1"
"1466252411918882","Lembah Damar Ramadan S.T.","Ambon","2012-02-16","1","Gg. Lumban Tobing No. 899, Salatiga 31369, SulBar","3","1"
"9988315204060781","Ulva Wijayanti","Tebing Tinggi","2017-04-09","0","Psr. M.T. Haryono No. 69, Cirebon 65505, KepR","4","0"
"6825360503952151","Lukman Prakasa","Manado","2010-09-29","0","Ds. Basket No. 642, Kendari 31345, Gorontalo","0","1"
"6509876111991238","Elma Siska Hasanah","Semarang","1979-07-19","1","Dk. Hang No. 928, Administrasi Jakarta Timur 66942, KalUt","2","0"
"1156440603065485","Luwes Ramadan M.Pd","Administrasi Jakarta Pusat","1987-11-12","0","Dk. Cikutra Timur No. 961, Payakumbuh 84624, JaTeng","4","0"
"3163334706165809","Karja Tampubolon","Cimahi","1980-01-22","0","Ds. Padang No. 515, Bogor 44753, SulSel","3","0"
"0785100612077203","Budi Wijaya","Tangerang Selatan","1977-11-06","0","Ds. Casablanca No. 469, Probolinggo 93997, SulTeng","5","1"
"9462643001112014","Adikara Manah Gunarto","Dumai","1984-09-13","0","Ki. Karel S. Tubun No. 822, Medan 63992, SulUt","5","0"
"9351493007954712","Zizi Nadine Lestari","Tegal","1991-07-26","0","Gg. Sutan Syahrir No. 785, Bandung 53200, Riau","5","1"
"3068751008178457","Bala Nugroho","Bandung","1970-09-03","1","Kpg. Rajiman No. 737, Samarinda 63477, SulTeng","5","1"
"0851374602911186","Nardi Narpati","Sukabumi","1976-08-02","0","Ds. Jend. A. Yani No. 685, Batu 61897, KalUt","3","0"
"3972026003005502","Ophelia Padmasari","Administrasi Jakarta Barat","2009-01-04","1","Ds. Adisucipto No. 664, Pekalongan 37271, Aceh","0","0"
"1182081404108208","Cawisono Bahuwirya Ramadan","Salatiga","2017-03-23","1","Jln. Baranang No. 465, Probolinggo 26180, PapBar","1","0"
"0399674809077932","Wisnu Prakasa","Cilegon","1978-01-23","1","Jln. Sampangan No. 523, Bima 35436, JaBar","5","1"
"3232746502199295","Lasmanto Luwes Mahendra","Kupang","1994-07-27","0","Dk. Banal No. 182, Bengkulu 58239, Papua","4","1"
"0987065411147103","Wira Ridwan Narpati S.Sos","Salatiga","2013-11-30","0","Jr. Sugiyopranoto No. 275, Bau-Bau 35656, KalBar","0","1"
"1433875702032405","Irfan Purwa Rajata","Sawahlunto","2005-04-01","0","Dk. Ekonomi No. 491, Cimahi 59780, Bali","1","0"
"5845485308139427","Zelda Zelaya Halimah S.Pd","Pontianak","1974-02-16","0","Ki. Muwardi No. 920, Samarinda 31827, BaBel","3","1"
"5206140702986628","Tina Mardhiyah S.E.","Pekalongan","2006-07-03","1","Kpg. Laswi No. 338, Padang 79303, KalBar","3","0"
"7229094804934321","Marsito Waluyo Simbolon","Palopo","1994-06-01","1","Psr. Baik No. 457, Tebing Tinggi 20141, Gorontalo","2","0"
"5625176901112644","Lintang Belinda Mayasari M.M.","Ambon","2008-04-25","0","Jr. Bappenas No. 141, Bau-Bau 64644, MalUt","3","0"
"3983965905975941","Radika Prasetyo","Padang","1981-10-28","0","Kpg. Orang No. 20, Palembang 98661, Maluku","5","0"
"1694016911033338","Michelle Wulandari","Sorong","1987-07-19","0","Psr. Dewi Sartika No. 571, Surabaya 72111, Bali","3","0"
"6087760602145941","Padmi Vivi Hariyah","Sibolga","2013-04-28","0","Ki. Honggowongso No. 162, Probolinggo 55431, Aceh","4","0"
"5971032808165736","Dodo Lulut Prasasta","Bogor","1994-04-22","1","Gg. Honggowongso No. 658, Serang 40140, KalBar","0","1"
"3447964208009910","Banawi Nasrullah Saragih","Sabang","1993-10-01","0","Kpg. Bazuka Raya No. 625, Banjarbaru 75194, SumSel","1","0"
"1797171212997949","Nadia Permata S.E.","Sorong","2009-04-11","0","Gg. Baiduri No. 693, Administrasi Jakarta Selatan 44088, Maluku","1","0"
"5220542603077846","Rina Ifa Rahimah S.E.I","Madiun","2007-12-19","0","Kpg. Jambu No. 301, Kupang 90475, SumUt","4","0"
"8329594910103528","Fathonah Pudjiastuti S.H.","Singkawang","2009-04-15","1","Jln. Bakau No. 420, Ambon 48237, SumBar","2","0"
"9334590609173221","Farhunnisa Riyanti","Bandung","2011-08-18","1","Ds. Adisumarmo No. 868, Surabaya 51282, SulTeng","2","0"
"5715535202910601","Febi Yuniar","Padangsidempuan","1973-03-24","0","Jln. Flora No. 717, Bogor 45338, DIY","3","1"
"8687216411988862","Ulya Puspasari","Sorong","2016-08-13","0","Ds. Sudirman No. 219, Batu 17554, Bali","5","0"
"6390321108901207","Kani Aryani","Kediri","2017-06-03","0","Ki. Flores No. 157, Pekanbaru 17628, KalSel","0","1"
"4646604911003521","Safina Padmasari S.E.I","Bima","2001-03-05","0","Psr. Suryo No. 197, Salatiga 70780, PapBar","0","1"
"0180890506030833","Vinsen Sihombing S.Sos","Padangpanjang","1980-01-01","1","Psr. Siliwangi No. 351, Magelang 78396, JaBar","5","1"
"9125360601925608","Ismail Damanik M.TI.","Binjai","1990-02-03","1","Ki. Acordion No. 51, Cilegon 10148, Aceh","1","1"
"5499852107893384","Tasdik Saiful Putra S.Ked","Banda Aceh","2009-09-04","0","Jr. Nanas No. 146, Samarinda 13076, SumSel","2","1"
"4382554906954068","Gambira Simanjuntak","Bima","1989-03-26","1","Jr. Babadan No. 435, Mataram 85632, SulUt","2","0"
"1494716702997151","Cahyanto Gandi Thamrin","Tarakan","1978-09-16","1","Dk. Pacuan Kuda No. 604, Prabumulih 14353, JaBar","3","1"
"4971686308091509","Iriana Suryatmi","Banda Aceh","2006-05-05","1","Jr. Dipatiukur No. 64, Tual 44822, Banten","5","1"
"0485686810045507","Halim Jasmani Putra M.TI.","Palembang","1985-06-10","1","Psr. Otto No. 820, Tidore Kepulauan 58787, SulSel","4","0"
"5897882204118630","Yance Maimunah Mandasari","Pekalongan","1991-02-26","0","Ki. Ciwastra No. 152, Tangerang 87187, Papua","1","1"
"6293051705003447","Cager Hutasoit","Tegal","1975-07-27","1","Ds. Nangka No. 632, Subulussalam 74864, BaBel","2","0"
"4611313007060185","Nadia Talia Oktaviani M.Ak","Tarakan","2012-02-22","1","Kpg. Yosodipuro No. 301, Semarang 41035, SulTeng","2","0"
"1632444611970159","Michelle Humaira Mardhiyah M.Ak","Manado","1999-10-15","1","Ds. Bhayangkara No. 37, Bengkulu 37325, Lampung","0","1"
"3240585511141892","Suci Mulyani M.M.","Jayapura","2004-10-26","0","Gg. Tubagus Ismail No. 963, Cirebon 43537, DKI","0","1"
"4774636803026960","Nadine Suci Uyainah M.Pd","Manado","2003-09-12","0","Psr. Moch. Yamin No. 222, Tebing Tinggi 49023, MalUt","3","0"
"8058274504978314","Usyi Novitasari","Padangpanjang","1975-02-06","0","Ki. Urip Sumoharjo No. 371, Administrasi Jakarta Timur 79686, Gorontalo","0","0"
"4200592905098381","Laksana Gunarto","Lhokseumawe","1987-08-06","1","Jr. Tambak No. 813, Sawahlunto 30482, Lampung","3","0"
"6035532704934197","Ifa Rina Hartati S.Kom","Jayapura","1975-07-30","1","Jln. Casablanca No. 250, Metro 57579, KalSel","5","0"
"7851522410092053","Ibun Adriansyah","Prabumulih","1995-01-25","1","Gg. Wahidin No. 236, Palopo 20020, KalUt","5","1"
"1996502012036692","Gabriella Fujiati","Jambi","2009-01-21","0","Jr. Sumpah Pemuda No. 120, Denpasar 47686, JaBar","5","1"
"7979230705977555","Digdaya Waluyo S.E.I","Banjarmasin","2007-06-29","0","Gg. Basmol Raya No. 419, Cimahi 38564, SulTeng","0","1"
"5938144912895875","Marwata Muhammad Dongoran S.Pd","Pagar Alam","1979-11-23","1","Gg. Yohanes No. 799, Ambon 45698, KepR","2","0"
"6128410909073705","Safina Queen Lestari","Palu","2002-04-24","0","Ds. Dipenogoro No. 137, Magelang 24151, JaTim","4","1"
"9612004707955798","Ratih Hariyah","Sabang","2017-02-18","0","Gg. Sutarjo No. 459, Pontianak 52755, SumUt","0","1"
"7160806007944988","Ira Usada","Samarinda","1989-06-18","1","Dk. Pasir Koja No. 86, Bogor 40094, JaTim","2","1"
"3349504802993579","Ade Lantar Prasetya S.I.Kom","Cimahi","2009-01-26","1","Ds. Karel S. Tubun No. 266, Bandung 38761, SumSel","1","1"
"7168326702015892","Galang Wijaya","Magelang","2013-11-15","1","Ds. Baung No. 557, Sungai Penuh 77264, SumBar","3","1"
"6164097001142571","Virman Saefullah","Bandung","2014-06-10","0","Kpg. Ketandan No. 534, Blitar 91278, Riau","0","1"
"7811914712032273","Sari Purnawati","Blitar","1995-01-05","1","Jln. Ters. Pasir Koja No. 402, Tegal 17558, SulTra","1","1"
"0356610405897511","Umi Kusmawati M.Kom.","Surabaya","1992-02-07","1","Ki. Bakhita No. 991, Cimahi 53274, SulTeng","2","0"
"3562152806177526","Tina Pertiwi","Semarang","1995-07-07","1","Psr. Ronggowarsito No. 993, Pekanbaru 15878, Bengkulu","0","0"
"7231120804895303","Vinsen Suwarno","Gunungsitoli","1999-04-17","1","Ds. Veteran No. 553, Semarang 23402, MalUt","0","0"
"4958631510155692","Faizah Silvia Hariyah","Palopo","2014-09-12","0","Jln. Baung No. 253, Semarang 51013, DKI","1","1"
"7849045808149186","Ian Ihsan Prasasta S.Psi","Bima","2007-08-25","0","Gg. Dewi Sartika No. 742, Tangerang Selatan 26600, PapBar","2","0"
